seq,aou,english,french,spanish,order,family,genus,species,unid_combined,sci_name,GenLength
6,1770,Black-bellied Whistling-Duck,Dendrocygne à ventre noir,Dendrocygna autumnalis,Anseriformes,Anatidae,Dendrocygna,autumnalis,TRUE,Dendrocygna autumnalis,2.362207056
7,1780,Fulvous Whistling-Duck,Dendrocygne fauve,Dendrocygna bicolor,Anseriformes,Anatidae,Dendrocygna,bicolor,TRUE,Dendrocygna bicolor,2.619713927
8,1760,Emperor Goose,Oie empereur,Anser canagicus,Anseriformes,Anatidae,Anser,canagicus,TRUE,Anser canagicus,8.008237927
9,1690,Snow Goose (all forms),Oie des neiges (toutes les formes),Anser caerulescens,Anseriformes,Anatidae,Anser,caerulescens,TRUE,Anser caerulescens,8.764038712
10,1691,(Blue Goose) Snow Goose,Oie des neiges (forme bleue),Anser caerulescens (blue form),Anseriformes,Anatidae,Anser,caerulescens (blue form),TRUE,Anser caerulescens (blue form),8.764038712
11,1700,Ross's Goose,Oie de Ross,Anser rossii,Anseriformes,Anatidae,Anser,rossii,TRUE,Anser rossii,6.250561565
13,1710,Greater White-fronted Goose,Oie rieuse,Anser albifrons,Anseriformes,Anatidae,Anser,albifrons,TRUE,Anser albifrons,8.40029148
18,1730,Brant,Bernache cravant,Branta bernicla,Anseriformes,Anatidae,Branta,bernicla,TRUE,Branta bernicla,9.908548955
19,1740,(Black Brant) Brant,Bernache cravant (groupe nigricans),Branta bernicla nigricans,Anseriformes,Anatidae,Branta,bernicla nigricans,TRUE,Branta bernicla nigricans,9.908548955
21,1725,Cackling Goose,Bernache de Hutchins,Branta hutchinsii,Anseriformes,Anatidae,Branta,hutchinsii,TRUE,Branta hutchinsii,9.217436837
22,1720,Canada Goose,Bernache du Canada,Branta canadensis,Anseriformes,Anatidae,Branta,canadensis,TRUE,Branta canadensis,9.449200494
23,1782,Mute Swan,Cygne tuberculé,Cygnus olor,Anseriformes,Anatidae,Cygnus,olor,TRUE,Cygnus olor,9.800268867
24,1810,Trumpeter Swan,Cygne trompette,Cygnus buccinator,Anseriformes,Anatidae,Cygnus,buccinator,TRUE,Cygnus buccinator,9.306894418
25,1800,Tundra Swan,Cygne siffleur,Cygnus columbianus,Anseriformes,Anatidae,Cygnus,columbianus,TRUE,Cygnus columbianus,11.99546495
27,20630,Egyptian Goose,Ouette d'Égypte,Alopochen aegyptiaca,Anseriformes,Anatidae,Alopochen,aegyptiaca,TRUE,Alopochen aegyptiaca,6.553195244
30,10210,Muscovy Duck,Canard musqué,Cairina moschata,Anseriformes,Anatidae,Cairina,moschata,TRUE,Cairina moschata,3.935264598
31,1440,Wood Duck,Canard branchu,Aix sponsa,Anseriformes,Anatidae,Aix,sponsa,TRUE,Aix sponsa,4.056081918
34,1400,Blue-winged Teal,Sarcelle à ailes bleues,Spatula discors,Anseriformes,Anatidae,Spatula,discors,TRUE,Spatula discors,3.937736958
35,1410,Cinnamon Teal,Sarcelle cannelle,Spatula cyanoptera,Anseriformes,Anatidae,Spatula,cyanoptera,TRUE,Spatula cyanoptera,2.91362668
36,1420,Northern Shoveler,Canard souchet,Spatula clypeata,Anseriformes,Anatidae,Spatula,clypeata,TRUE,Spatula clypeata,4.095844242
37,1350,Gadwall,Canard chipeau,Mareca strepera,Anseriformes,Anatidae,Mareca,strepera,TRUE,Mareca strepera,3.673352314
39,1360,Eurasian Wigeon,Canard siffleur,Mareca penelope,Anseriformes,Anatidae,Mareca,penelope,TRUE,Mareca penelope,3.789266937
40,1370,American Wigeon,Canard d'Amérique,Mareca americana,Anseriformes,Anatidae,Mareca,americana,TRUE,Mareca americana,3.89349214
42,1320,Mallard,Canard colvert,Anas platyrhynchos,Anseriformes,Anatidae,Anas,platyrhynchos,TRUE,Anas platyrhynchos,4.781012977
43,1331,Mexican Duck,Canard du Mexique,Anas diazi,Anseriformes,Anatidae,Anas,diazi,TRUE,Anas diazi,4.781012977
44,1330,American Black Duck,Canard noir,Anas rubripes,Anseriformes,Anatidae,Anas,rubripes,TRUE,Anas rubripes,4.821432747
45,1340,Mottled Duck,Canard brun,Anas fulvigula,Anseriformes,Anatidae,Anas,fulvigula,TRUE,Anas fulvigula,4.552456265
46,1326,hybrid Mallard x Black / Mexican / Mottled Duck,hybride Canard colvert x noir / Mexique / brun,Anas platyrhynchos x rubripes / diazi / fulvigula,Anseriformes,Anatidae,Anas,platyrhynchos x rubripes / diazi / fulvigula,TRUE,Anas platyrhynchos x rubripes / diazi / fulvigula,NA
48,1430,Northern Pintail,Canard pilet,Anas acuta,Anseriformes,Anatidae,Anas,acuta,TRUE,Anas acuta,4.947677081
49,1390,Green-winged Teal,Sarcelle d'hiver,Anas crecca,Anseriformes,Anatidae,Anas,crecca,TRUE,Anas crecca,3.878402736
50,1470,Canvasback,Fuligule à dos blanc,Aythya valisineria,Anseriformes,Anatidae,Aythya,valisineria,TRUE,Aythya valisineria,5.161870032
51,1460,Redhead,Fuligule à tête rouge,Aythya americana,Anseriformes,Anatidae,Aythya,americana,TRUE,Aythya americana,4.194698424
53,1500,Ring-necked Duck,Fuligule à collier,Aythya collaris,Anseriformes,Anatidae,Aythya,collaris,TRUE,Aythya collaris,3.76042376
54,1491,Tufted Duck,Fuligule morillon,Aythya fuligula,Anseriformes,Anatidae,Aythya,fuligula,TRUE,Aythya fuligula,4.012210421
55,1480,Greater Scaup,Fuligule milouinan,Aythya marila,Anseriformes,Anatidae,Aythya,marila,TRUE,Aythya marila,4.148126497
56,1490,Lesser Scaup,Petit Fuligule,Aythya affinis,Anseriformes,Anatidae,Aythya,affinis,TRUE,Aythya affinis,5.023958311
57,1489,unid. Greater Scaup / Lesser Scaup,unid Fuligule milouinan / Petit Fuligule,Aythya marila / affinis,Anseriformes,Anatidae,Aythya,marila / affinis,TRUE,Aythya marila / affinis,NA
58,1570,Steller's Eider,Eider de Steller,Polysticta stelleri,Anseriformes,Anatidae,Polysticta,stelleri,TRUE,Polysticta stelleri,7.71950274
59,1580,Spectacled Eider,Eider à lunettes,Somateria fischeri,Anseriformes,Anatidae,Somateria,fischeri,TRUE,Somateria fischeri,8.325095728
60,1620,King Eider,Eider à tête grise,Somateria spectabilis,Anseriformes,Anatidae,Somateria,spectabilis,TRUE,Somateria spectabilis,11.365329
61,1590,Common Eider,Eider à duvet,Somateria mollissima,Anseriformes,Anatidae,Somateria,mollissima,TRUE,Somateria mollissima,11.21901402
62,1550,Harlequin Duck,Arlequin plongeur,Histrionicus histrionicus,Anseriformes,Anatidae,Histrionicus,histrionicus,TRUE,Histrionicus histrionicus,6.149206491
63,1660,Surf Scoter,Macreuse à front blanc,Melanitta perspicillata,Anseriformes,Anatidae,Melanitta,perspicillata,TRUE,Melanitta perspicillata,5.513907439
64,1650,White-winged Scoter,Macreuse à ailes blanches,Melanitta deglandi,Anseriformes,Anatidae,Melanitta,deglandi,TRUE,Melanitta deglandi,5.438067803
67,1630,Black Scoter,Macreuse à bec jaune,Melanitta americana,Anseriformes,Anatidae,Melanitta,americana,TRUE,Melanitta americana,5.343234274
68,1657,unid. scoter,unid macreuse sp.,Melanitta sp.,Anseriformes,Anatidae,Melanitta,sp.,TRUE,Melanitta sp.,NA
69,1540,Long-tailed Duck,Harelde kakawi,Clangula hyemalis,Anseriformes,Anatidae,Clangula,hyemalis,TRUE,Clangula hyemalis,6.005650979
70,1530,Bufflehead,Petit Garrot,Bucephala albeola,Anseriformes,Anatidae,Bucephala,albeola,TRUE,Bucephala albeola,5.492261298
71,1510,Common Goldeneye,Garrot à oeil d'or,Bucephala clangula,Anseriformes,Anatidae,Bucephala,clangula,TRUE,Bucephala clangula,7.109900304
72,1520,Barrow's Goldeneye,Garrot d'Islande,Bucephala islandica,Anseriformes,Anatidae,Bucephala,islandica,TRUE,Bucephala islandica,6.602453125
73,1512,unid. Common Goldeneye / Barrow's Goldeneye,unid Garrot à oeil d'or / Garrot d'Islande,Bucephala clangula / islandica,Anseriformes,Anatidae,Bucephala,clangula / islandica,TRUE,Bucephala clangula / islandica,NA
75,1310,Hooded Merganser,Harle couronné,Lophodytes cucullatus,Anseriformes,Anatidae,Lophodytes,cucullatus,TRUE,Lophodytes cucullatus,4.513622284
76,1290,Common Merganser,Grand Harle,Mergus merganser,Anseriformes,Anatidae,Mergus,merganser,TRUE,Mergus merganser,5.050720794
77,1300,Red-breasted Merganser,Harle huppé,Mergus serrator,Anseriformes,Anatidae,Mergus,serrator,TRUE,Mergus serrator,5.730468376
79,1670,Ruddy Duck,Érismature rousse,Oxyura jamaicensis,Anseriformes,Anatidae,Oxyura,jamaicensis,TRUE,Oxyura jamaicensis,3.856815295
80,3110,Plain Chachalaca,Ortalide chacamel,Ortalis vetula,Galliformes,Cracidae,Ortalis,vetula,TRUE,Ortalis vetula,4.804508169
88,2920,Mountain Quail,Colin des montagnes,Oreortyx pictus,Galliformes,Odontophoridae,Oreortyx,pictus,TRUE,Oreortyx pictus,2.578428464
93,2890,Northern Bobwhite,Colin de Virginie,Colinus virginianus,Galliformes,Odontophoridae,Colinus,virginianus,TRUE,Colinus virginianus,2.258734621
95,2930,Scaled Quail,Colin écaillé,Callipepla squamata,Galliformes,Odontophoridae,Callipepla,squamata,TRUE,Callipepla squamata,2.152866308
97,2940,California Quail,Colin de Californie,Callipepla californica,Galliformes,Odontophoridae,Callipepla,californica,TRUE,Callipepla californica,2.222432767
98,2950,Gambel's Quail,Colin de Gambel,Callipepla gambelii,Galliformes,Odontophoridae,Callipepla,gambelii,TRUE,Callipepla gambelii,2.126172625
99,2960,Montezuma Quail,Colin arlequin,Cyrtonyx montezumae,Galliformes,Odontophoridae,Cyrtonyx,montezumae,TRUE,Cyrtonyx montezumae,2.186048879
103,3100,Wild Turkey,Dindon sauvage,Meleagris gallopavo,Galliformes,Phasianidae,Meleagris,gallopavo,TRUE,Meleagris gallopavo,4.689787737
105,3000,Ruffed Grouse,Gélinotte huppée,Bonasa umbellus,Galliformes,Phasianidae,Bonasa,umbellus,TRUE,Bonasa umbellus,2.398076811
106,2980,Spruce Grouse,Tétras du Canada,Canachites canadensis,Galliformes,Phasianidae,Canachites,canadensis,TRUE,Canachites canadensis,3.394960462
107,3010,Willow Ptarmigan,Lagopède des saules,Lagopus lagopus,Galliformes,Phasianidae,Lagopus,lagopus,TRUE,Lagopus lagopus,2.332812222
108,3020,Rock Ptarmigan,Lagopède alpin,Lagopus muta,Galliformes,Phasianidae,Lagopus,muta,TRUE,Lagopus muta,2.992514649
109,3040,White-tailed Ptarmigan,Lagopède à queue blanche,Lagopus leucura,Galliformes,Phasianidae,Lagopus,leucura,TRUE,Lagopus leucura,4.116172628
110,3090,Greater Sage-Grouse,Tétras des armoises,Centrocercus urophasianus,Galliformes,Phasianidae,Centrocercus,urophasianus,TRUE,Centrocercus urophasianus,3.822699139
111,3089,Gunnison Sage-Grouse,Tétras du Gunnison,Centrocercus minimus,Galliformes,Phasianidae,Centrocercus,minimus,TRUE,Centrocercus minimus,4.623188277
112,2970,Dusky Grouse,Tétras sombre,Dendragapus obscurus,Galliformes,Phasianidae,Dendragapus,obscurus,TRUE,Dendragapus obscurus,4.475357304
113,2971,Sooty Grouse,Tétras fuligineux,Dendragapus fuliginosus,Galliformes,Phasianidae,Dendragapus,fuliginosus,TRUE,Dendragapus fuliginosus,3.583927834
114,2973,Blue Grouse (Dusky/Sooty),Tétras sombre (sombre/fuligineux),Dendragapus obscurus / fuliginosus,Galliformes,Phasianidae,Dendragapus,obscurus / fuliginosus,TRUE,Dendragapus obscurus / fuliginosus,4.029642569
115,3080,Sharp-tailed Grouse,Tétras à queue fine,Tympanuchus phasianellus,Galliformes,Phasianidae,Tympanuchus,phasianellus,TRUE,Tympanuchus phasianellus,2.537761556
116,3050,Greater Prairie-Chicken,Tétras des prairies,Tympanuchus cupido,Galliformes,Phasianidae,Tympanuchus,cupido,TRUE,Tympanuchus cupido,2.633883697
117,3070,Lesser Prairie-Chicken,Tétras pâle,Tympanuchus pallidicinctus,Galliformes,Phasianidae,Tympanuchus,pallidicinctus,TRUE,Tympanuchus pallidicinctus,2.835452238
118,2881,Gray Partridge,Perdrix grise,Perdix perdix,Galliformes,Phasianidae,Perdix,perdix,TRUE,Perdix perdix,1.933238715
119,3091,Ring-necked Pheasant,Faisan de Colchide,Phasianus colchicus,Galliformes,Phasianidae,Phasianus,colchicus,TRUE,Phasianus colchicus,4.77330905
120,3095,Indian Peafowl,Paon bleu,Pavo cristatus,Galliformes,Phasianidae,Pavo,cristatus,TRUE,Pavo cristatus,8.830374084
123,2882,Chukar,Perdrix choukar,Alectoris chukar,Galliformes,Phasianidae,Alectoris,chukar,TRUE,Alectoris chukar,2.271141313
125,50,Least Grebe,Grèbe minime,Tachybaptus dominicus,Podicipediformes,Podicipedidae,Tachybaptus,dominicus,TRUE,Tachybaptus dominicus,3.26637837
126,60,Pied-billed Grebe,Grèbe à bec bigarré,Podilymbus podiceps,Podicipediformes,Podicipedidae,Podilymbus,podiceps,TRUE,Podilymbus podiceps,3.428296921
127,30,Horned Grebe,Grèbe esclavon,Podiceps auritus,Podicipediformes,Podicipedidae,Podiceps,auritus,TRUE,Podiceps auritus,4.411423392
128,20,Red-necked Grebe,Grèbe jougris,Podiceps grisegena,Podicipediformes,Podicipedidae,Podiceps,grisegena,TRUE,Podiceps grisegena,5.626612132
129,40,Eared Grebe,Grèbe à cou noir,Podiceps nigricollis,Podicipediformes,Podicipedidae,Podiceps,nigricollis,TRUE,Podiceps nigricollis,5.027990321
130,10,Western Grebe,Grèbe élégant,Aechmophorus occidentalis,Podicipediformes,Podicipedidae,Aechmophorus,occidentalis,TRUE,Aechmophorus occidentalis,5.331588962
131,11,Clark's Grebe,Grèbe à face blanche,Aechmophorus clarkii,Podicipediformes,Podicipedidae,Aechmophorus,clarkii,TRUE,Aechmophorus clarkii,4.814294093
132,12,Western Grebe (Clark's/Western),Grèbe élégant (à face blanche/élégant),Aechmophorus occidentalis / clarkii,Podicipediformes,Podicipedidae,Aechmophorus,occidentalis / clarkii,TRUE,Aechmophorus occidentalis / clarkii,5.072941527499999
133,3131,Rock Pigeon,Pigeon biset,Columba livia,Columbiformes,Columbidae,Columba,livia,TRUE,Columba livia,3.993083763
138,3140,White-crowned Pigeon,Pigeon à couronne blanche,Patagioenas leucocephala,Columbiformes,Columbidae,Patagioenas,leucocephala,TRUE,Patagioenas leucocephala,3.54887253
139,3130,Red-billed Pigeon,Pigeon à bec rouge,Patagioenas flavirostris,Columbiformes,Columbidae,Patagioenas,flavirostris,TRUE,Patagioenas flavirostris,4.680046722
140,3120,Band-tailed Pigeon,Pigeon à queue barrée,Patagioenas fasciata,Columbiformes,Columbidae,Patagioenas,fasciata,TRUE,Patagioenas fasciata,4.394132128
143,3152,African Collared-Dove (a.k.a. Ringed Turtle-Dove),Tourterelle rieuse,Streptopelia roseogrisea,Columbiformes,Columbidae,Streptopelia,roseogrisea,TRUE,Streptopelia roseogrisea,4.20927217
145,22860,Eurasian Collared-Dove,Tourterelle turque,Streptopelia decaocto,Columbiformes,Columbidae,Streptopelia,decaocto,TRUE,Streptopelia decaocto,3.455689008
146,3151,Spotted Dove,Tourterelle tigrine,Streptopelia chinensis,Columbiformes,Columbidae,Streptopelia,chinensis,TRUE,Streptopelia chinensis,3.744876563
147,3210,Inca Dove,Colombe inca,Columbina inca,Columbiformes,Columbidae,Columbina,inca,TRUE,Columbina inca,2.799722853
148,3200,Common Ground Dove,Colombe à queue noire,Columbina passerina,Columbiformes,Columbidae,Columbina,passerina,TRUE,Columbina passerina,2.931066034
150,3201,Ruddy Ground Dove,Colombe rousse,Columbina talpacoti,Columbiformes,Columbidae,Columbina,talpacoti,TRUE,Columbina talpacoti,2.668992315
155,3180,White-tipped Dove,Colombe de Verreaux,Leptotila verreauxi,Columbiformes,Columbidae,Leptotila,verreauxi,TRUE,Leptotila verreauxi,4.306651531
161,3190,White-winged Dove,Tourterelle à ailes blanches,Zenaida asiatica,Columbiformes,Columbidae,Zenaida,asiatica,TRUE,Zenaida asiatica,4.063751857
163,3160,Mourning Dove,Tourterelle triste,Zenaida macroura,Columbiformes,Columbidae,Zenaida,macroura,TRUE,Zenaida macroura,5.371662876
165,3830,Smooth-billed Ani,Ani à bec lisse,Crotophaga ani,Cuculiformes,Cuculidae,Crotophaga,ani,TRUE,Crotophaga ani,4.226881546
166,3840,Groove-billed Ani,Ani à bec cannelé,Crotophaga sulcirostris,Cuculiformes,Cuculidae,Crotophaga,sulcirostris,TRUE,Crotophaga sulcirostris,3.192426485
171,3850,Greater Roadrunner,Grand Géocoucou,Geococcyx californianus,Cuculiformes,Cuculidae,Geococcyx,californianus,TRUE,Geococcyx californianus,3.216720014
176,3870,Yellow-billed Cuckoo,Coulicou à bec jaune,Coccyzus americanus,Cuculiformes,Cuculidae,Coccyzus,americanus,TRUE,Coccyzus americanus,2.532871766
177,3860,Mangrove Cuckoo,Coulicou manioc,Coccyzus minor,Cuculiformes,Cuculidae,Coccyzus,minor,TRUE,Coccyzus minor,3.030901654
178,3880,Black-billed Cuckoo,Coulicou à bec noir,Coccyzus erythropthalmus,Cuculiformes,Cuculidae,Coccyzus,erythropthalmus,TRUE,Coccyzus erythropthalmus,2.543153489
179,3875,unid. Yellow-billed Cuckoo / Black-billed Cuckoo,unid Coulicou à bec jaune / Coulicou à bec noir,Coccyzus americanus / erythropthalmus,Cuculiformes,Cuculidae,Coccyzus,americanus / erythropthalmus,TRUE,Coccyzus americanus / erythropthalmus,NA
181,4210,Lesser Nighthawk,Engoulevent minime,Chordeiles acutipennis,Caprimulgiformes,Caprimulgidae,Chordeiles,acutipennis,TRUE,Chordeiles acutipennis,3.361353004
182,4200,Common Nighthawk,Engoulevent d'Amérique,Chordeiles minor,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,TRUE,Chordeiles minor,4.585997652
183,4201,Antillean Nighthawk,Engoulevent piramidig,Chordeiles gundlachii,Caprimulgiformes,Caprimulgidae,Chordeiles,gundlachii,TRUE,Chordeiles gundlachii,3.541195629
184,4205,unid. Lesser Nighthawk / Common Nighthawk,unid Engoulevent minime / Engoulevent d'Amérique,Chordeiles acutipennis / minor,Caprimulgiformes,Caprimulgidae,Chordeiles,acutipennis / minor,TRUE,Chordeiles acutipennis / minor,NA
185,4206,unid. Common Nighthawk / Antillean Nighthawk,unid Engoulevent d'Amérique / piramidig,Chordeiles minor / gundlachii,Caprimulgiformes,Caprimulgidae,Chordeiles,minor / gundlachii,TRUE,Chordeiles minor / gundlachii,NA
186,4190,Common Pauraque,Engoulevent pauraqué,Nyctidromus albicollis,Caprimulgiformes,Caprimulgidae,Nyctidromus,albicollis,TRUE,Nyctidromus albicollis,3.603698927
187,4180,Common Poorwill,Engoulevent de Nuttall,Phalaenoptilus nuttallii,Caprimulgiformes,Caprimulgidae,Phalaenoptilus,nuttallii,TRUE,Phalaenoptilus nuttallii,2.767326657
190,4160,Chuck-will's-widow,Engoulevent de Caroline,Antrostomus carolinensis,Caprimulgiformes,Caprimulgidae,Antrostomus,carolinensis,TRUE,Antrostomus carolinensis,4.055669608
194,4171,Eastern Whip-poor-will,Engoulevent bois-pourri,Antrostomus vociferus,Caprimulgiformes,Caprimulgidae,Antrostomus,vociferus,TRUE,Antrostomus vociferus,3.696018219
195,4172,Mexican Whip-poor-will,Engoulevent d'Arizona,Antrostomus arizonae,Caprimulgiformes,Caprimulgidae,Antrostomus,arizonae,TRUE,Antrostomus arizonae,2.236175921
200,4220,Black Swift,Martinet sombre,Cypseloides niger,Apodiformes,Apodidae,Cypseloides,niger,TRUE,Cypseloides niger,3.738376237
205,4230,Chimney Swift,Martinet ramoneur,Chaetura pelagica,Apodiformes,Apodidae,Chaetura,pelagica,TRUE,Chaetura pelagica,3.009395796
206,4240,Vaux's Swift,Martinet de Vaux,Chaetura vauxi,Apodiformes,Apodidae,Chaetura,vauxi,TRUE,Chaetura vauxi,2.348481441
210,4250,White-throated Swift,Martinet à gorge blanche,Aeronautes saxatalis,Apodiformes,Apodidae,Aeronautes,saxatalis,TRUE,Aeronautes saxatalis,2.447301252
223,4260,Rivoli's Hummingbird,Colibri de Rivoli,Eugenes fulgens,Apodiformes,Trochilidae,Eugenes,fulgens,TRUE,Eugenes fulgens,2.436407199
